,영화ID,영화명,개봉일,국적,장르,감독,배우
2440,2440,어제 내린 비,1975-01-01,한국,멜로/로맨스,이장호,"김희라,이영호,안인숙"
2441,2441,엄마 없는 하늘 아래,1977-06-23,한국,"가족,드라마,멜로/로맨스",이원세,"김재성,이경태,김은주,김현성,박근형"
2442,2442,열여섯의 봄,2019-11-07,중국,드라마,바이 슈에,"황야오,순양"
2443,2443,엽기적인 그녀,2001-07-26,한국,코미디,곽재용,"전지현,차태현,한진희,김인문,김일우,양금석,임호,송옥숙,박준영,문자영,서효승,김태현,임동준,박선아,최수영,임윤석,임정수,박승배,정충환,김영민,이은정,김주연,이재호,유순철,장수영,허준영,조경훈,송영근,이은주,현정훈,서동원"
2444,2444,오염된 자식들,1982-09-25,한국,"드라마,멜로/로맨스",임권택,"김지영,방희,최성호,조남경,안성기"
2445,2445,오직 사랑뿐,2018-02-08,영국,"드라마,멜로/로맨스",엠마 아산테,"로자먼드 파이크,데이빗 오예로워,잭 데이븐포트"
2446,2446,왕십리,1976-01-31,한국,"드라마,멜로/로맨스",임권택,"신성일,김영애"
2447,2447,우묵배미의 사랑,1990-03-31,한국,멜로/로맨스,장선우,"박중훈,최명길,유혜리,이대근,최주봉,김영옥,신충식,정상철,서갑숙,양택조,김지영,김은숙,전소현,권태원,김종구"
2448,2448,유랑지구,2019-04-18,중국,SF,프란트 궈,"오경,굴초소,조금맥,이광결,오맹달,굴청청"
2449,2449,은마는 오지 않는다,1991-10-05,한국,"드라마,전쟁",장길수,"이혜숙,김보연,양택조,이기영,방은희"
2450,2450,은밀하게 위대하게,2013-06-05,한국,"액션,코미디,드라마",장철수,"김수현,박기웅,이현우,손현주,박혜숙,김성균,고창석,장광,신정근,홍경인,이채영,박은빈,최우식,이연경,이재남,이주원,장하은,장하진,황의준,송경호,이명규,주현,조영진,성유빈,원현준,이재우"
2451,2451,이별식당,2020-08-27,한국,"뮤지컬,드라마,멜로/로맨스",임왕태,"고윤,송글송글,현명한,배준수,이진성,이다영,김태성,신인숙,지가민,한준용,진채완,이지은,김은수,김가을,이연주,권오복,윤수정,노수빈,김윤미,이선아,김지혜"
2452,2452,작은 아씨들,2020-02-12,미국,"드라마,멜로/로맨스",그레타 거윅,"시얼샤 로넌,엠마 왓슨,플로렌스 퓨,엘리자 스캔런,로라 던,티모시 샬라메,메릴 스트립"
2453,2453,죽도 서핑 다이어리,2020-05-07,한국,드라마,이현승,"전혜빈,오광록,박호산,정태우,강홍렬,김동준,김동해,김명진,김민수,김민준,김비주,김예원,김용민,김이섭,김인성,김일현,김종후,나기욱,노기홍,박동욱,박수진,박시아,박진영,박태완,보허미안,서우용,선지민,송치범,신현주,심진용,유 타,유희절,윤상욱,윤성진,윤현중,이기훈,최성용,최소연,최윤범,최윤서,하동우,이예진,함충우,이재호,홍준기,황병권,황지영,이해선,장 훈,정용철,정윤하"
2454,2454,죽이는 이야기,1998-01-01,한국,"드라마,코미디",여균동,"문성근,황신혜,이경영,전혜진,이인철,정원중,김윤진"
2455,2455,줄탁동시,2012-03-01,한국,드라마,김경묵,"이바울,염현준,김새벽,임형국,정건영,서민경,정건영,최장원,오희준"
2456,2456,집의 시간들,2018-10-25,한국,다큐멘터리,라야,"김기수,이인규"
2457,2457,챔피언스,2019-02-07,스페인,"코미디,드라마",하비에르 페서,하비에르 구티에레즈
2458,2458,처녀들의 저녁식사,1998-10-03,한국,"드라마,멜로/로맨스",임상수,"강수연,진희경,김여진,조재현,김광수,조상건,이인철,설경구,김응수,주부진"
2459,2459,친구,2001-03-31,한국,드라마,곽경택,"유오성,장동건,서태화,정운택,기주봉,이은주,김보경,김윤태,김정태,김현숙,최정선,강신일,조용원,황주현,안창국,박효진,정종섭,정지선,문행근,김기용,김태원,유상섭,유성일,곽은영,김성복,김인영,유형준,김재현,이경하,이치우,김영헌,김준범,이주영,정호빈,김광규,이재용,주현,지대한,양지웅,박찬영"
2460,2460,콘스탄트 가드너,2006-05-04,영국,"스릴러,드라마",페르난도 메이렐레스,"랄프 파인즈,레이 와이즈"
2461,2461,탐정 당인: 차이나타운 살인사건,2018-03-08,중국,액션,진사성,"왕보강,류호연"
2462,2462,태백산맥,1994-09-17,한국,"드라마,전쟁",임권택,"김갑수,김명곤,이미경,최종원,안성기,안석환,오정해,정경순,양택조,박길수,오지혜,윤주상,권태원,김기천,남정희"
2463,2463,태양의 서커스 월드 어웨이,2016-01-06,미국,공연,앤드류 아담슨,제이슨 베런트
2464,2464,텔미썸딩,1999-11-13,한국,"스릴러,미스터리",장윤현,"한석규,심은하,안석환,유준상,장항선,염정아,조승연,권태원"
2465,2465,토지,1974-11-23,한국,드라마,김수용,"김지미,이순재,김지영,허장강,최정민,도금봉"
2466,2466,투캅스,1993-12-18,한국,"코미디,액션,드라마",강우석,"김현우,김혜옥,박중훈,홍윤정,지수원,최종원,안성기,임대호,양택조,이기영,김일우,윤문식,강성진"
2467,2467,파란대문,1998-10-31,한국,드라마,김기덕,"이혜은,이지은"
2468,2468,페임,2009-09-24,미국,"뮤지컬,드라마",케빈 탄차로엔,"애셔 북,케이 파나베이커,나투리 노튼,케링튼 페인,월터 페레즈"
2469,2469,프랭크,2014-09-25,영국,"코미디,드라마",레니 에이브러햄슨,"마이클 패스벤더,도널 글리슨,매기 질렌할,스쿳 맥네이리"
2470,2470,해가 서쪽에서 뜬다면,1998-12-19,한국,"멜로/로맨스,드라마",이은,"고소영,차승원,임창정,이범수,박성웅,권민중"
2471,2471,헐리우드 키드의 생애,1994-07-30,한국,드라마,정지영,"김정현,최민수,신혜수,독고영재,김일우,이봉규"
2472,2472,황무지 5월의 고해,2020-10-28,한국,드라마,김태영,"조선묵,양재만,서갑숙,이경아,김영석,김윤태,문창근,한영숙,이영자,방은희,이현란,선동혁,김정,차기환,김찬구,이은영,심지미,이숙,유문선,전무송"
2473,2473,황진이,1986-09-18,한국,사극,배창호,"장미희,안성기,전무송,김윤경,김지영,신일룡,조주미,홍윤정"
2474,2474,스파이더맨: 파 프롬 홈,2019-07-02,미국,"액션,어드벤처,코미디,SF",존 왓츠,"톰 홀랜드,사무엘 L. 잭슨,젠데이아 콜먼,코비 스멀더스,존 파브로,마리사 토메이,제이크 질렌할,제이콥 배덜런"
2475,2475,조커,2019-10-02,미국,"액션,드라마,스릴러",토드 필립스,"호아킨 피닉스,재지 비츠,로버트 드 니로,프란시스 콘로이,브렛 컬렌"
2476,2476,라이온 킹,2019-07-17,미국,"어드벤처,드라마,가족",존 파브로,"도날드 글로버,비욘세 놀즈,제임스 얼 존스,치웨텔 에지오포,세스 로건"
2477,2477,나쁜 녀석들: 더 무비,2019-09-11,한국,"범죄,액션",손용호,"황두하,마동석,김상중,김아중,장기용,강예원,민태율,박형수,김혜윤,손성찬,박상욱,정종열,김경덕,서문호,백종민,임용순,안성봉,배은우,김인우,박태산,지승현,추연규,최원,이순혁,박효준,이재윤,박원상,조영진,한정현,전익령,김형묵,윤병희,강영묵,조동혁,공정환,석영오,문경민,손진환,김희창,박광재,최현욱,김원진,이수정,장준녕,김재록,설지윤,배성민,김창옥,이승창,김원중,박서진,강승호,김지웅,서영민,원근수,문재원,정광희,서문호,배현경,홍도성,지남혁,한상철,장의돈,이진혁,박병선,봉신주,박근영,이지운,김산성,박민한,김대경,고봉구,김효영,한명철,신현승,유병선,오재윤,김문학,양한석,이수민,나호원,정무성,박태산,이왕수,최재원,유인선,김미지,조혜빈,최서현,윤수하,최지희,최효상,김윤홍,김지한,임용순,김강일,박용,손성찬,방재호,김춘기,김시온,장한승,전민준,안성봉,신유람,윤토왕,정윤철,임정민,박금철,김왕용,서정우,홍범기,권지훈,양해길,박광설,이형길,주원,배준모,김정봉,이성빈,이재학,여경준,강범석,최민석,박성우,임시우,한명환,손현민,김지훈,박현준,고건호,박국진,김여름,김창희,남상기,노현석,나예성,신용호,신현빈,윤지용,이건희,이원찬,이종현,장석권,정상호,정지성,한지훈,조태호,김혜성,진시원,임세운,박숙명,김시혜,김주연,정은정,김상욱,유재상,송원수,김선동,이한성,곽정길,김명희,김유진,홍희자,박복만,심철민,옥주리"
2478,2478,분노의 질주: 홉스&쇼,2019-08-14,미국,액션,데이빗 레이치,"드웨인 존슨,제이슨 스타뎀,이드리스 엘바,바네사 커비"
2479,2479,토이 스토리 4,2019-06-20,미국,"애니메이션,어드벤처,코미디",조시 쿨리,"톰 행크스,팀 알렌,애니 팟츠,토니 헤일,키아누 리브스,조앤 쿠삭,매들린 맥그로"
2480,2480,가장 보통의 연애,2019-10-02,한국,"멜로/로맨스,코미디",김한결,"김래원,공효진,강기영,정웅인,장소연,이채은,정혜린,손우현,박근록,주민경,지일주,오동민,성병숙,차엽,윤경호,차중원,신민재,손영순,손산,이승찬,조재완,김연철,김영,배현성,조지현,송예진,정현규,심소연,손성찬,조영복,최정원,최지원,강소연,유하성,송규용,정미란,한예성,임지형,이건희,김진옥,박인영,이윤재,강은수,홍민성,민지안,임유란,송필근,손여은"
2481,2481,터미네이터: 다크 페이트,2019-10-30,미국,"액션,어드벤처,SF",팀 밀러,"맥켄지 데이비스,아놀드 슈왈제네거,린다 해밀턴,나탈리아 레이즈,가브리엘 루나"
2482,2482,히트맨,2020-01-22,한국,"코미디,액션",최원섭,"권상우,정준호,황우슬혜,이이경,이지원,허성태,조운,허동원,이준혁,이중옥,안성봉,주서은,권유준,이상이,오자훈,배민준,박경근,손성찬,문정대,이건구,하경민,김사란,신수오,조셉,손태양,채인우,김건,서성균,박가은,안보라,권반석,황태희,김원영,변동욱,강현우,정수용,심상윤,이윤규,신희정,윤동주,심홍섭,배재성,장필상,박지해,나승준,손지민,이한종,아우 티투 솔루키,문정수,김원중,김흥태,김관영,김대근,우광제,이왕수,남승화,이창섭,임효우,박현선,주창욱,문형돈,원우,최재현,올렉 오스트로스키,디미트리 키에르베,서정훈,신기원,박예찬,임효진,설윤지,강영준,옥주리,김풍,황병국,김미희,한철우,이상원,김길동,배진웅,김성준,이승아,김나은,히트맨,박상연,김종석,이동혁,이승민,이건우,최준혁,박도영,양정두,유재근,김민성,김재명,김동현,도현,이건,최지민,안영주,윤준호,이동욱,박창희,노희중,최지혜,유지연,박두식,이재남,박성진,이상진,이금용"
2483,2483,타짜: 원 아이드 잭,2019-09-11,한국,"범죄,드라마",권오광,"박정민,류승범,최유화,우현,윤제문,이광수,임지연,권해효,이창훈,오동민,장준휘,오혜원,여이레,이홍내,이상희,김예은,신문성,이윤상,유정호,남진복,박혁민,황재열,최원,임현성,서정연,이지훈,현봉식,최재현,오동민,김창환,오봄길,박경근,김형묵,유정호,김태준,유상훈,이택근,오경민,김철환,박규선,진모,류효정,오누리,박무영,이규호,지희제,박상규,김세인,홍주형,한동원,현오봉,이홍내,황재열,백예현,박지한,서승교,신민서,김종숙,권혁준,오태은,최남욱,김남훈,최현수,김준희,김성강,이무녕,남승화,박대성,윤영걸,황재명,이장원,이명엽,이정훈,차시연,노승은,김대한,곽기훈,고주선,서윤하,김진옥,김영희,김윤숙,김유영,최희영,정유준,김혜지,김성수,김태현,안상은,정세희,이시안,지수,안소미,김이슬,라일라,태지우,장규미,최윤빈,조기태,김창조,윤태인,노진영,방태현,임효진,김광수,원탐슬,김정남,이경수,김민광,박동훈,김주승,최명빈,홍예서,김희원,배유람,최재환,이창희,주진모,최동훈,김인애,박지은,윤금선아"
2484,2484,신의 한 수: 귀수편,2019-11-07,한국,"범죄,액션",리건,"권상우,김희원,김성균,허성태,우도환,원현준,홍기준,박상훈,이서환,선율우,김상호,이홍내,박영빈,정인겸,조운,신수연,김정팔,이정아,주서은,이규호,윤기현,이지석,우수빈,김대진,김곤,김지수,정재원,박응수,송영탁,박응준,오승찬,김산,한태일,홍윤재,김태현,김선동,권윤구,김문학,강정혁,양현태,남경화,박종희,이용재,노성후,박민수,이영서,차성제,배하은,곽진,최준영,박재완,곽민준,임채선,임정민,김윤수,김광일,김효영,김선웅,김종원,김용기,김재하,김경태,김시호,김신범,김용준,김민교,권용희,남상원,노현우,류승주,문정기,박희진,박근영,박정규,박영서,송현기,송동환,이진하,이찬재,이진혁,이희규,이규한,이시언,이민영,이중규,이효,이유진,이성현,윤정섭,이시운,오윤석,이예림,이다혜,이동휘,유선호,조석희,조원빈,조규호,전재현,장이슬,정민혁,차중원,최성식,한지윤,한서준,하수진,황은지,한도진,한태희,황춘하,고세원,유선,이병준,박경혜"
2485,2485,#살아있다,2020-06-24,한국,드라마,조일형,"유아인,박신혜,전배수,고나영,권용채,김경태,김다영,김단비,김라희,김미래,김미래,김윤도,김학선,김현우,김훈만,나경철,나경철,노정미,박수찬,박윤호,박재현,박철민,박철민,소회정,손경원,신연우,심소연,양말복,양수진,연재흠,연제이,염정연,예효승,오혜원,유연,윤예나,은 한,최계형,최다인,이규호,이동규,이승진,이승창,한상균,한성수,이유진,이재영,이재영,황윤호,이채경,이현욱,이회원,임우찬,임은지,주보비,진소연,장의돈,장지건,전배수,전운종,정세미,정영도,강현구,조한준"
2486,2486,변신,2019-08-21,한국,"공포(호러),스릴러",김홍선,"배성우,성동일,장영남,김혜준,조이현,김강훈,정윤하,남승화,고해정,김귀선,손종학,신민경,안소미,김민식,안영주,오대환,손정원,윤서연,김세희,고태영,이샘,장현석,조지현,윤혜영,이규복,지대한,권잎새,권지환,김이경,한성관,이한별,김태린,남예진,윤기창,이장원,윤화랑,이음,전미도,손인용,서인권,백성철,백윤식,화성,박서연"
2487,2487,사자,2019-07-31,한국,"미스터리,액션,판타지,공포(호러)",김주환,"박서준,안성기,우도환,이승준,최우식,박진주,박지현,정지훈,이승희,심희섭,이찬유,김시은,김선민,정의순,김범수,박재홍,차시원,류경수,서정연,장세아,배현성,이설,이수인,이정현,김근영,최홍일,한혜지,고현경,박소은,민설애,박재홍,김기범,설윤지,박지열,박지헌,김대한,손우진,김도율,박하영,배향,백길찬,신안진,신안진,김민지,유호한,오자훈,김상현,윤재인,강민경,김현준,김현준,이주원,장효석,김혜정,김효경,홍준표,김종완,정다은,율찬,최지민,최지혜,김한나,김예지,김설호,이영훈,임용순,김종균,조은형,조태관,한주아,우연희,정경천,신호용,신민호,정태찬,최성아,이예린,손병일,배인호,배한용,장태양,백낙순,홍승범,한다미,황수인,배시진"
2488,2488,닥터 두리틀,2020-01-08,미국,"판타지,어드벤처",스티븐 개건,"로버트 다우니 주니어,톰 홀랜드,라미 말렉,안토니오 반데라스,마리옹 꼬띠아르,마이클 쉰,옥타비아 스펜서,쿠마일 난지아니,존 시나,셀레나 고메즈,랄프 파인즈,엠마 톰슨,크레이그 로빈슨"
2489,2489,도굴,2020-11-04,한국,범죄,박정배,"이제훈,조우진,신혜선,임원희"
2490,2490,말레피센트 2,2019-10-17,미국,"어드벤처,가족,판타지",요아킴 뢰닝,"안젤리나 졸리,엘르 패닝,미셀 파이퍼"
2491,2491,포드 V 페라리,2019-12-04,미국,"액션,드라마",제임스 맨골드,"맷 데이먼,크리스찬 베일"
2492,2492,클로젯,2020-02-05,한국,"미스터리,드라마",김광빈,"하정우,김남길,허율,김시아,신현빈,김수진,박지아,임현성,강신철,박성웅,이도국,이양희"
2493,2493,퍼펙트맨,2019-10-02,한국,"코미디,드라마",용수,"설경구,조진웅,허준호,진선규,김사랑,지승현,윤진영,권혁범,박보경,이호철,윤상화,김준희,소희정,이주원,박인수,김기무,박찬효,문호진,정찬훈,원인재,박건락,이태검,강성철,윤성원,홍석빈,이윤재,김선경,정형석,석보배,유인혜,김여진,김호준,이전익,하성훈,한동원,전정관,최지안,서정희,박재철,한태진,김두열,안상은,심완준,박소라,정태인,옥예린,진혁,장세원,허동수,신성일,정성훈,이지완,김동규,전세나,육은향,심혜연,오운환,선율우,최성,김대근,김선우,강윤혜,이정철,최기상,신범식,박진우,이유준,김민석"
2494,2494,해치지않아,2020-01-15,한국,코미디,손재곤,"안재홍,강소라,박영규,김성오,전여빈,박혁권,장승조,문동혁,한예리,서현우,박형수,김흥래,김수진,윤대열,이현욱,오재균,조민경,손경원,김경민,안성봉,송수영,윤재인,한사명,전운종,양말복,김비비,김그림,박윤호,김현,박기륭,이정민,윤우중,정원형,장원형,송유현,조은유,임새라,주부진,손희순,남정희,김남순,권범택,원근희,손영희,김정현,이다영,박중금,양현진,박소영,조혜선,경규민,이다인,장정우,이경민,김규희,박보은,이하영,서은솔,송지우,양희원,김하연,김태연,박시윤,윤성우,진현광,배은우,최찬호,설창희,변상윤,박영빈,유은조,김경로,오석철,고민지,최정현,배진호,이윤상,유정호,노수산나,김기천,이가경,남윤서,정지훈,연제이,한세라,이앨리,박수아,나승현,권혜진,추경원,이언정,김도희,김서영,김흥래,김흥래,조한준,김태희,이형원,윤상돈,이옥희,김용각,김향배,손지영,염재민,이종현"
2495,2495,"힘을 내요, 미스터 리",2019-09-11,한국,"코미디,드라마",이계벽,"차승원,엄채영,박해준,김혜옥,안길강,전혜빈,류한비,조한철,성지루,김법래,정원중,신현빈,정준원,정희태,안민영,지이수,윤병희,이승원,오태경,황성준,한동원,송재룡,신기원,이미정,길정우,안성원,구준우,권순준,배경을,이한생,오소현,김정복,김기정,배정웅,최소현,권오상,김도연,조정원,서동오,남태부,백은경,임지영,온세미,신정윤,류인영,원유현,김민아,신진희,김지연,지한아,소아린,김빛나라,이가영,강경우,김준오,전누림,심지윤,정승현,신지언,정의진,김수정,황재필,오영은,박소현,정현우,박성용,박찬유,정영섭,유화,김광태,김미서,경인선,이우신,이금주,선우,서인혁,이승엽,강민재,임석진"
2496,2496,장사리 : 잊혀진 영웅들,2019-09-25,한국,전쟁,"곽경택,김태훈","김명민,최민호,김성철,김인권,곽시양,메간 폭스,조지 이즈,장지건,이재욱,이호정,동방우,김미화,정종준,이다인,황재열,오봄길,한철우,김진욱,김민규,이철민,양중경,홍성우,백남준,최상재,신진범,김근수,정기용,정철헌,장명갑,김한솔,송우림,오경주,전병일,서호석,배태준,이형석,배정명,박주환,조정훈,임영세,이지열,박윤상,공윤호,연원모,김기태,정연조,조서진,홍원표,차승엽,이지수,김현준,박상길,김연국,안홍,강호빈,한가을,김성도,김여준,박준규,손원익,정상일,최주영,최준민,하병우,하지완,고남호,공현대,성재현,김경현,남승민,함상훈,현병빈,조형태,최희원,오정훈,채승우,장병수,황진환,김주현,김동진,서정우,허재훈,배건하,박동일,임효성,임효성,이한종,전상욱,백신,함성일,배준모,권오철,김미화,정승배,하진,이혜수,윤정근,오규철,손창민,강상협,김태원,권혁일,고형우,안지훈,최창근,소진우,정현진,문창준,이욱진,주재형,이태윤,안시우,김재호,이상혁,조대우,전샘,정창호,유정민,김진성,조승환,윤대근,강문봉,조영길,오창후,문정식,봉명필,정재훈,서진원"
