,영화ID,영화명,개봉일,국적,장르,감독,배우
0,0,범죄도시2,2022-05-18,한국,"범죄,액션",이상용,"마동석,손석구,최귀화,박지환,허동원,하준,정재광,남문철,박지영,이주원,음문석,김찬형,이규원,전진오,이다일,김영성,차우진,박광재,백승익,최재훈,우강민,강덕중,송요셉,서문호,한우열,권혁범,박은우,이도은,김이현,허승,이태규,최광희,권태호,권지훈,전재형,신재환,김원경,천준호,이원행,정수원,김희,이해원,정수일,김태욱,최형우,이시형,김서원,손승범,손상경,박주환,한상경,정우람,정명군,김운영,안재만,이관민,김승환,김무성,김병민,최형락,전국진,김동주,김영준,한상철,이명자,신재용,정동룡,오명진,김상욱,정수용,이광기,이재혁,김대근,선율우,김승현,전정일,백요섭,전찬원,황정윤,이창훈,곽장륜,조용환,김민규,정인기,윤병희,이병희"
1,1,아바타: 물의 길,2022-12-14,미국,"액션,어드벤처,SF,스릴러",제임스 카메론,"조 샐다나,샘 워싱턴,시고니 위버,스티븐 랭,케이트 윈슬렛"
2,2,탑건: 매버릭,2022-06-22,미국,액션,조셉 코신스키,"톰 크루즈,마일즈 텔러,제니퍼 코넬리,존 햄,에드 해리스,글렌 포웰,제이 엘리스,그렉 타잔 데이비스,찰스 파렐,장 루이자 켈리,대니 라미레즈"
3,3,스파이더맨: 노 웨이 홈,2021-12-15,미국,"액션,어드벤처,SF",존 왓츠,"톰 홀랜드,젠데이아 콜먼,베네딕트 컴버배치,제이콥 배덜런,존 파브로,마리사 토메이"
4,4,한산: 용의 출현,2022-07-27,한국,"액션,드라마",김한민,"박해일,이지영,이정태,변요한,안성기,손현주,김성규,김성균,김향기,옥택연,공명,박지환,조재윤,윤제문,박훈,윤진영,김강일,박재민,이서준,김민재,김재영,김구택,손경원,안성봉,이운산,김영웅,공정환,배현성,김대명,정예훈,김한민,김기호,김기환,강신구,김영탁,김공,이재한,정제우,정연,윤대열,김리우,김현태,현봉식,김범석,고한민,문승배,강덕중,서상원,김영찬,배명진,곽민호,정준화,황무영,안태준,이의령,안치욱,강병욱,김호연,김태근,고기영,이보영,홍윤,박선교,김동훈,서세명,박형준,이진민,이규탁,남현우,윤상원,이지운,문바롬,김태희,김동현,김우현,남상우,김현승,양동혁,오누리,한봄,박재이,김진희,강리안,강보라,김지아,이다혜,김효주,한송희,한상경,김진형,오지훈,이루겸,최홍락,방병현,황성웅,김이담,김경태,김건보,이동빈,유건기,위민국,정동근,최돈학,권용덕,김용준,김한솔,김현우,강성락,이종욱,윤상영,김영호,이건록,장한솔,정현옥,이단,백태민,현직,손대민,김무섭,한동국,황민혁,조현수,김서준,채강,엄기영,손수호,이상호,민주호,오창후,김형석,구본혁,우혁,김명곤,문숙,이준혁,윤승훈,박혜영,허중회"
5,5,공조2: 인터내셔날,2022-09-07,한국,"액션,코미디",이석훈,"현빈,유해진,임윤아,다니엘 헤니,진선규,장영남,박훈,임성재,윤상화,박민하,전국환,전배수,이해영,서동원,이승훈,이제연,박형수,이민지,박종환,송영근,김중희,최동구,설찬미,서동복,박진수,김경식,변경록,정의순,이동용,남성준,김태수,우정국,김성인,전민,김태향,유비,우석준,현직,김관모,주재후,류경환,신욱,김선희,박광렬,황두하,전종석,신영훈,김병오,박재홍,임세인,김철윤,장현진,함태인,김진우,정윤하,강덕중,최미라,한은수,황인덕,정성인,명채미,최유지,추정훈,김원해,조달환"
6,6,닥터 스트레인지: 대혼돈의 멀티버스,2022-05-04,미국,"액션,어드벤처,판타지",샘 레이미,"베네딕트 컴버배치,엘리자베스 올슨,베네딕트 웡,레이첼 맥아담스,치웨텔 에지오포,소치틀 고메즈"
7,7,헌트,2022-08-10,한국,"액션,드라마",이정재,"장재혁,이상혁,오동훈,이지영,이정재,정우성,전혜진,허성태,고윤정,김종수,정만식,임형국,정경순,정재성,송영창,강경헌,임성재,정성모,손성호,김학선,오만석,김문찬,박건우,이채은,김윤도,송덕호,이서한,장서경,김찬형,송철호,김형범,경성환,윤정섭,최우준,정재현,김효준,차래형,박중근,홍성덕,박윤희,문정대,이도국,이한주,고서희,손경원,이태형,조진결,고경만,김호준,김은우,정종우,박민이,윤대열,김완수,김결,김덕주,민경옥,김송일,이가경,차우진,박민정,옥주리,조광유,박도영,조혜린,박병관,이도헌,이주안,손승범,장재혁,박인국,문유성,김동형,김시원,배정환,이시안,정상균,박영준,최기표,김재환,남열,태윤,박형준,백승우,이찬희,전현석,장나라,이웅규,진가민,허윤,권민경,이재원,김의신,조영미,최은애,백경윤,박서희,박민정,김기태,김재환,김한솔,서문호,여이레,이도군,홍지원,황정민,이성민,유재명,박성웅,조우진,김남길,주지훈,정용식,김동규,김동훈,김명선"
8,8,모가디슈,2021-07-28,한국,"액션,드라마",류승완,"김윤석,조인성,허준호,구교환,김소진,정만식,김재화,박경혜,박명신,한철우,주보비,안세호,이진희,최경훈,이화정,정병두,이나연,김동화,윤경호,장지후,유연석,강승수,임희라,김우영,남태규,배정환,이성환,태상호,김도훈,김동식,김원준,민대웅,정재훈,최정욱,윤대원,김서희,박지영,이종진,최유정,박정,조상원,전상원,김경희,김재훈,이용희,황창기,이희경,이금빈,조순연,한규석"
9,9,올빼미,2022-11-23,한국,스릴러,안태진,"류준열,유해진,최무성,조성하,박명훈,김성철,안은진,조윤서,김상욱,이주원,김예은,정석원,류성현,김승태,신문성,안성봉,문승배,김인권,김채원,김도원,양희명,강진휘,박희은,김샛별,김재현,류석호,손경원,송동환,강덕중,안세호,배용근,류지훈,조경현,신정원,황보정일,윤진영,윤준열,정동근,최돈학,서인혁,고한민,장태민,서문호,이동희,노정현,김설,손문영,김태준,안석현,권병철,고덕원,이정훈,김현정,장윤정,류진,남시훈,이태호,김현우,한수빈,한여름,설옥남,김수민,이정우,전민옥,전동현,권병철,황영윤,홍의정,이충식,전기수,최춘범,이수민,전기수"
10,10,영웅,2022-12-21,한국,"드라마,뮤지컬",윤제균,"정성화,김고은,나문희,조재윤,배정남,이현우,박진주,권라희,지웅배"
11,11,이터널스,2021-11-03,미국,"액션,어드벤처,드라마",클로이 자오,"안젤리나 졸리,마동석,리처드 매든,쿠마일 난지아니,셀마 헤이엑"
12,12,블랙 위도우,2021-07-07,미국,"액션,어드벤처,SF",케이트 쇼트랜드,"스칼렛 요한슨,플로렌스 퓨,레이첼 와이즈,데이빗 하버"
13,13,가디언즈 오브 갤럭시: Volume 3,2023-05-03,미국,액션,제임스 건,"크리스 프랫,조 샐다나,데이브 바티스타,카렌 길런,폼 클레멘티에프,빈 디젤,브래들리 쿠퍼,윌 폴터"
14,14,쥬라기 월드: 도미니언,2022-06-01,미국,"액션,어드벤처",콜린 트레보로우,"크리스 프랫,브라이스 달라스 하워드,드완다 와이즈,로라 던,제프 골드블럼,샘 닐"
15,15,마녀(魔女) Part2. The Other One,2022-06-15,한국,액션,박훈정,"신시아,박은빈,서은수,진구,성유빈,조민수,차순배,저스틴 하비,이종석,김다미,변서윤,채원빈,서이라,정라엘,김기해,장재영,정예진,모그,신영옥,김대흥,신희철,정환욱,우강민,최홍락,홍원표,유태근,윤기창,오기덕,이규영,한재웅,문동식,노승윤,고남호,이준,임승준,장남수,최동구,김한솔,공경배,서문호,이선호,한상경,이상렬,조광욱,정운,조창원,오원혁,김민규,김소민,김벼리,장지호,엄태구,김용우"
16,16,토르: 러브 앤 썬더,2022-07-06,미국,"액션,어드벤처,판타지",타이카 와이티티,"크리스 헴스워스,나탈리 포트만,테사 톰슨,크리스찬 베일,타이카 와이티티,크리스 프랫"
17,17,분노의 질주: 더 얼티메이트,2021-05-19,미국,액션,저스틴 린,"빈 디젤,존 시나,성 강,샤를리즈 테론,미셸 로드리게즈,조다나 브루스터,헬렌 미렌"
18,18,미니언즈2,2022-07-20,미국,"애니메이션,어드벤처,코미디",카일 발다,"피에르 꼬팽,스티브 카렐,타라지 P. 헨슨"
19,19,싱크홀,2021-08-11,한국,코미디,김지훈,"차승원,김성균,이광수,권소현,김혜준,김재화,박옥출,남다름,정영숙,이학주,한태린,김건우,오자훈,나철,김병철,전승재,김경환,박민준,나현민,윤돈선,정서인,정윤하,이두열,어성욱,김태훈,김준혁,장영,이건구,정용락,유현,안용우,윤기현,조제웅,이창윤,정용태,이상욱,안성봉,김동현,김왕도,오재세,박민지,황여진,김명희,이순화,이주미,송경아,전은미,권정숙,이경태,최지명,권오철,최민혁,김귀례,정우근,장광,김홍파,고창석"
20,20,베놈 2: 렛 데어 비 카니지,2021-10-13,미국,"액션,SF,스릴러",앤디 서키스,"톰 하디,미쉘 윌리엄스,나오미 해리스,레이드 스콧,스티븐 그레이엄,우디 해럴슨"
21,21,블랙 팬서: 와칸다 포에버,2022-11-09,미국,"액션,어드벤처,드라마",라이언 쿠글러,"레티티아 라이트,루피타 뇽오,다네이 거라이라,마틴 프리먼,다니엘 칼루야,안젤라 바셋,윈스턴 듀크,테노치 우에르타 메히아"
22,22,비상선언,2022-08-03,한국,드라마,한재림,"송강호,이병헌,전도연,김남길,임시완,김소진,박해준,우미화,현봉식,문숙,설인아,권한솔,김보민,김국희,임형국,이열음,임성재,이상현,김학선,남명렬,정종열,김호정,이현균,이시원,이일섭,윤세웅,오재균,변우종,조승연,황현빈,박재완,심소연,채송아,진미사,이수미,강지현,신수연,홍하나임,황가희,윤소희,구유정,이지윤,곽민규,전정일,이승준,하정민,박근홍,이예영,서석규,하혜승,김금순,이은희,이동희,조용준,김혁종,조운,김영욱,윤민수,지웅배,구민혁,신현숙,이문빈,조태호,김서연,신승용,김규도,김봉희,양대성,석보배,신민경,용석주,김병만,최솔희,김지우,고경인,최지안,박인지,박희은,정재혁,최영도,정서인,박선임,이종운,이택근,고경희,박크미,이두석,정윤하,오윤수,조범수,문주연,문아람,조진결,송경의,김리승,강말금,성기윤,이화룡,전수지,김창환,손진환,손재협,고용진,조재룡,배현경,변진수,유종연,심우성,민재경,문병주,강내균,전세용,유아름,김이현,박기선,권정민,강영일,이승준,이은주,이태건,김광현,이지수,민효경,전은미,이윤재,서덕인,전두현,권혁,정형석,전형재,송훈,이하은,송원수,송광주,신정아,임정옥,황재열,김진혁,이주영,송형수,김광식,이기동,조대희,최재훈,고유찬,서동복,최은경,차승호,최백규,이의령,성용훈,박선우,민상철,최영민,이대한,이동현,이유진,조영지,김동형,변동욱,오재세,김상일,백승익,오근욱,제성,윤선미,최현아,장준휘,양희명,조강연,권훈,손경원,이해운,정연심,윤재인,박주영,하수호,윤선미,김솔로몬,김지민,김태훈,최필상,기도영,송글송글,정소용,류민하,강준석,안정호,박윤희,지남혁,김리우,공대유,서혜윤,기환,박예영,김영조,하경민,여민구,강명헌,김연교,신덕호,옥윤중,장서연,임지현,변중희,김도원,김현정,장용희,김한상,신치영,현승진,권일용,김윤희,정지영"
23,23,크루엘라,2021-05-26,미국,"드라마,범죄,코미디",크레이그 질레스피,"엠마 스톤,엠마 톰슨,마크 스트롱"
24,24,육사오(6/45),2022-08-24,한국,코미디,박규태,"고경표,이이경,음문석,박세완,이순원,곽동연,김민호,류승수,윤병희,이준혁,신원호,남도윤,서정우,최민혁,배한솔,정상철,강길준,김건우,김슬민,오병곤,윤지용,박치우,이학주,김관모,홍민기,김민규,김백겸,문경민,박혁진,유병수,이태경,윤지홍,손경표,강운,최현태,서한돌,이동환,구본혁,김진형,송호제,신문선,이건록,이동기,이수,이시안,이지운,정시훈,채원우,최기표,황민혁,황태훈,최원,서지원,오혜금,편한마음,김재민,이종훈,조미초,이예진,정인기,박희진,이현걸,오현수,정용식"
25,25,존 윅 4,2023-04-12,미국,액션,채드 스타헬스키,"키아누 리브스,로렌스 피쉬번,이안 맥쉐인,빌 스카스가드,견자단"
26,26,헤어질 결심,2022-06-29,한국,"미스터리,멜로/로맨스",박찬욱,"박해일,탕웨이,이정현,고경표,김신영,정영숙,유승목,서현우,정이서,이학주,정소리,신안진,김도연,고민시,차서원,주인영,윤성원,최선자,진용욱,안진상,박정민,박용우,정하담,최대훈,김미화,곽은진,안성봉,김성곤,문순주,현직,한서울,김도담,문정대,유인혜,권혁성,차상도,강경수,유태오,이지하,전성애,이경민,이용녀,김귀례,김도담,유다솜,김민준,김국진,김상현"
27,27,샹치와 텐 링즈의 전설,2021-09-01,미국,"액션,어드벤처,판타지",데스틴 다니엘 크리튼,"양조위,아콰피나,양자경"
28,28,교섭,2023-01-18,한국,드라마,임순례,"도기범,황정민,현빈,강기영"
29,29,인질,2021-08-18,한국,"액션,스릴러",필감성,"황정민,김재범,이유미,류경수,정재원,이규원,이호정,조경현,신현종,백주희,한규원,지남혁,류성현,김재철,임형태,강덕중,김주희,임철수,윤상화,김정민,이형길,김보경,한성관,허남준,김필,최현도,최원,정근,이용재,우원규,이문석,고민지,이상근,이창인,정병두,한영균,윤홍빈,장세원,오재세,최필상,강민재,조호천,안구희,우광제,정상균,한훈,김시원,김진솔,은정완,오주환,장원경,노은하,정준현,신재영,강충훈,김형기,박지윤,전혜원,박성웅,박경림,류승범,유해진,이성민,전도연,주지훈,박혜영"
30,30,듄,2021-10-20,미국,SF,드니 빌뇌브,"티모시 샬라메,레베카 퍼거슨,오스카 아이삭,조슈 브롤린,제이슨 모모아,하비에르 바르뎀,젠데이아 콜먼,스텔란 스카스가드,장첸,데이브 바티스타,데이비드 다스트말치안,샬롯 램플링,샤론 던컨 브루스터,스티븐 헨더슨"
31,31,앤트맨과 와스프: 퀀텀매니아,2023-02-15,미국,액션,페이튼 리드,"폴 러드,에반젤린 릴리,미셀 파이퍼,마이클 더글라스"
32,32,외계+인 1부,2022-07-20,한국,"액션,판타지,SF",최동훈,"류준열,김우빈,김태리,소지섭,염정아,조우진,김의성,이하늬,신정근,이시훈,김대명,최유리,김기천,윤병희,지건우,윤경호,옥자연,이현걸,김해숙,유재명,전여빈,김민서,김민준,이선희,백현주,최광제,심달기,조하이,김루아,김강일,이동희,김찬형,박무염,송영광,이동용,장준휘,한성수,김정한,김왕도,김세홍,김만호,김민체,박광재,박수진,김선혁,김우현,김민환,김재현,김윤도,김진욱,김한솔,문바롬,박수찬,성백인,안재원,이태환,이보영,윤상원,손주환,김단비,지한아,김빛나래,김세정,민정은,배윤민,정지원,지성은,전아희,한수아,고나영,박시연,송지혁,우상기,김선혁,한승윤,박인규,강정민,이희규,변진수,양미선,이병욱,장규식,전경희,강춘선,강차욱,김문조,조한길,류관후,김방선,전은미,정민규,고유준,전진기,이원민,이택근,서석규,한동훈,남지우,박래영,임보현,임우진,신혜지,김지선,김예주,이주혁,하시연,차영주,이수진,김수현,현오봉,김승준,박건률,선인호,이동석,조운성,조진결,한지훈,황인직,이준창,황재운,임재민,강기원,전원표,정예서,민새희,오채은,이하주,유독현,이가현,김현식,박종범,이섭정,강한별,김솔로몬,장석준,이수형"
33,33,보이스,2021-09-15,한국,"범죄,액션","김선,김곡","강현아,변요한,조한철,김무열,김희원,박명훈,이주영,조재윤,이규성,이운산,옥자연,윤종석,성도현,조현식,윤병희,김가영,홍경,문동혁,라민,류성현,윤슬,홍승일,윤대열,윤영균,조준,윤봉길,강득종,양지수,김장원,윤정로,이지현,김민식,이강녕,유정호,조용근,김상묵,김희상,고윤안,안진영,박찬국,주명철,유영섭,이근후,이동용,최재훈,박지훈,노재훈,이병희,서덕인,정영기,김건,정현주,임요한,김연교,백우영,박지영,정현재,박진아,김태향,심소영,박광재,남태우,이성민,신동훈,문정대,김근영,최홍락,원진호,곽기훈,이시후,이정섭,황재하,이영희,정혜경,안진영,김완수,최지연,지한별,서지호,김현수,원진아,최병모,손종학,민성욱,손병호,기주봉,차순배,박진수"
34,34,해적: 도깨비 깃발,2022-01-26,한국,"어드벤처,액션,코미디",김정훈,"강하늘,김은준,한효주,이광수,권상우,채수빈,오세훈,김성오,박지환"
35,35,브로커,2022-06-08,한국,드라마,고레에다 히로카즈,"송강호,강동원,배두나,이지은,이주영,임승수,박지용,김선영,이무생,이동휘,김새벽,백현진,오희준,류경수,종호,성유빈,박강섭,김금순,강길우,김예은,정지우,류지안,윤슬,장혜민,정종열,최희진,이도군,김도연,최효상,강민지,이가경,양권석,이두석,박종현,전선호,박영준,황도윤,김다나,김수현,배가진,김진아,나경철,이가은혜,송새벽,박해준"
36,36,007 노 타임 투 다이,2021-09-29,미국,액션,캐리 후쿠나가,"다니엘 크레이그,라미 말렉,라샤냐 린치,레아 세이두,벤 위쇼,아나 디 아르마스,나오미 해리스,랄프 파인즈"
37,37,신비한 동물들과 덤블도어의 비밀,2022-04-13,미국,"어드벤처,가족,판타지",데이빗 예이츠,"에디 레드메인,주드 로,매즈 미켈슨,캐서린 워터스턴,댄 포글러,앨리슨 수돌,에즈라 밀러,칼럼 터너,리차드 코일,올리버 마수치"
38,38,인생은 아름다워,2022-09-28,한국,뮤지컬,최국희,"류승룡,염정아,박세완,옹성우,심달기,정현정,하현상,김다인,유순웅,이세령,김민체,조승연,조수지,변진수,문정대,박경근,김호준,정영섭,박경찬,황정윤,한이진,김영준,남성호,이희규,김진아,전무송,박영규,김혜옥,신신애,김종수,고창석,염혜란,김선영,류현경"
39,39,"오늘 밤, 세계에서 이 사랑이 사라진다 해도",2022-11-30,일본,멜로/로맨스,미키 타카히로,"미치에다 슌스케,후쿠모토 리코,후루카와 코토네,마츠모토 호노카"
40,40,드림,2023-04-26,한국,"코미디,드라마",이병헌,"박서준,아이유,김종수,고창석,정승길,이현우,양현민,홍완표,허준석,이하늬,박재철"
41,41,킹스맨: 퍼스트 에이전트,2021-12-22,미국,액션,매튜 본,"랄프 파인즈,해리스 딕킨슨,리스 이판,젬마 아터튼,디몬 하운수,매튜 구드,톰 홀랜더,다니엘 브륄,찰스 댄스,애론 테일러 존슨,스탠리 투치,알렉산드라 마리아 라라,크리스티안 네크라소프"
42,42,발신제한,2021-06-23,한국,"스릴러,액션",김창주,"조우진,이재인,진경,김지호,지창욱,류승수,김태율,전석호,정애연,이설,정인기,남명렬,박영서,조인우,이주한,최유송,전광진,김봉만,배천수,김성수"
43,43,보스 베이비 2,2021-07-21,미국,"애니메이션,코미디,어드벤처",톰 맥그라스,"알렉 볼드윈,에이미 세다리스,제임스 마스던,제프 골드블럼,지미 키멜"
44,44,더 배트맨,2022-03-01,미국,"액션,범죄,드라마",맷 리브스,"로버트 패틴슨,폴 다노,조 크라비츠,앤디 서키스,제프리 라이트,콜린 파렐,피터 사스가드,존 터투로"
45,45,데시벨,2022-11-16,한국,액션,황인호,"김래원,임병훈,정상훈,이종석,박병은,이상희,김정우,나현우,박성훈,조인우,이종욱,박진수,신윤주,조달환,우지현,노성은,이승훈,윤정열,김건,장세원,안태환,류시안,명홍진,한민엽,권동호,김진환,위민국,김호준,손윤환,오동훈,김창헌,이한주,손승범,이화영,한기찬,정원석,김이준,신영찬,성백인,김동훈,김동연,류필립,정율건,장용희,이영훈,박수현,조강혁,장민수,이후림,이재준,차은우,이민기,김슬기,강경헌,차정환,최미라,한상경,김태훈,유민석,이승준,정우혁,한창현,고태영,김현동,윤지희,윤현길,손광익,박지원,서지원,최현주,임서영,이현하,손서영,이정준,안다정,감승민,윤기창,원시현,김하랑,설윤지,정현지,이윤호,차재현,최윤빈,임병택,정현옥,형영선,정재훈,조한결,김장원,이나민,오은지,전한나,전아희,윤재형,김진우,신치영,정다온"
46,46,정직한 후보2,2022-09-28,한국,코미디,장유정,"라미란,김무열,윤경호,서현우,박진주,윤두준,김용림,신재휘,배해선,성열석,이진희,장원형,박주용,임영우,신윤정,김귀선,하성광,정영기,류경환,정예훈,이혜라,홍승균,한창현,정혜경,한동호,김석영,채수연,박선혜,오재세,김아라,유형준,임태훈,정우혁,유일한,문규민,이재은,강숙,조용환,변동욱,홍인아,김태율,황우상,유영복,박재완,오규택,이은석,차정민,오윤수,이명자,이순풍,임용순,김동인,나호숙,김지혜,임승묵,이태영,유준상,김재화,김지성,온주완,윤사봉,나문희,이동찬"
47,47,씽2게더,2022-01-05,미국,애니메이션,가스 제닝스,"매튜 매커너히,리즈 위더스푼,스칼렛 요한슨,태런 에저튼,토리 켈리,할시,퍼렐 윌리엄스,보노"
48,48,콰이어트 플레이스 2,2021-06-16,미국,스릴러,존 크래신스키,"에밀리 블런트,킬리언 머피,노아 주프,밀리센트 시몬스,디몬 하운수,웨인 듀발"
49,49,장화신은 고양이: 끝내주는 모험,2023-01-04,미국,애니메이션,조엘 크로포드,"안토니오 반데라스,셀마 헤이엑,올리비아 콜맨,하비 길렌,샘슨 카요,와그너 모라,안토니 멘데즈,존 멀레이니,플로렌스 퓨,더바인 조이 랜돌프,레이 윈스톤"
50,50,랑종,2021-07-14,한국,"공포(호러),스릴러,드라마",반종 피산다나쿤,"나릴야 군몽콘켓,싸와니 우툼마,씨라니 얀키띠칸,야사카 차이쏜"
51,51,유체이탈자,2021-11-24,한국,"판타지,액션",윤재근,"윤계상,박용우,임지연,박지환,유승목,이성욱,홍기준,서현우,이운산,주진모,김민경,차혜림,정윤하,곽진석,김차이,김영성,천영암,박광재,권혁범,우강민,이홍내,김윤배,이호연,유성주,박유밀,윤기창,윤대열,현봉식,박인규,황재선,김승비,서세흥,백도겸,허동원,조아라,최동구,김현동,손화영,이학렬,황유현,김승필,이태영,김선간,이동민,정우영,신동호,강지구,김경로,김양원,서영재,양재훈,한시원,편한셈,최정현,김기태,소윤호,임동민,최현종,공병준,김선우,김세희,김이슬,고민지,강은수,강소연,배유리,박민정,신가인,임지영,제승현,전민아,전예지,정태인,정일화,최호정,김도준,박상혁,안성봉,오민준,조승범,김혜선,김채영,권세희,백한영,서유림,최수연,한희림,강정훈,김병규,김성엽,김민성,김찬욱,김진솔,박준영,안구희,안시율,이동기,이태연,임현욱,조승원,이하주,한나나,손주아,신보희,주혜지,안스완,이송희,김우유,이다원,채비니,신나라,이윤민,정주섭,임재혁,이서경,조선우,한지훈,오유빈,이하주,오하늬,채정은,심채원,한리나,배광표,김대성,정기호,윤재근,최시형"
52,52,컨저링3: 악마가 시켰다,2021-06-03,미국,"공포(호러),미스터리,스릴러",마이클 차베즈,"베라 파미가,패트릭 윌슨"
53,53,킹메이커,2022-01-26,한국,드라마,변성현,"설경구,이선균,유재명,조우진,박인환,이해영,김성오,전배수,서은수,김종수,윤경호,김새벽,정재성,배종옥,진선규,이재원,김지훈,김주령,장인섭,윤세웅,서상원,허동원,김재화,최광제,윤사봉,이동용,최선규,홍현종,이지호,남승화,정수지,백익남,정우혁,곽동현,문정대,오봄길,송요셉,천재홍,성일,손경원,박세준,안동구,고동업,이동희,박찬규,이상택,김귀선,전현숙,김병철,조현숙,김두은,장예진,양진억,이화룡,마정필,김규인,류연수,곽자형,강홍렬,김동현,이서환,김진모,류대식,구민혁,유승일,전필재,나현민,박재현,선우,김미진,고재경,윤소담,김도영,석승훈,이규창,김경일,김병철,김용,박준형,이진호,장다은,장지연,정해은,전성원,허성재,임승민"
54,54,블랙 아담,2022-10-19,미국,"액션,어드벤처,SF",자움 콜렛 세라,"드웨인 존슨,노아 센티네오,피어스 브로스넌,퀸테사 스윈들,알디스 호지,사라 샤이"
55,55,대외비,2023-03-01,한국,"범죄,드라마",이원태,"조진웅,이성민,김무열,원현준,김민재,유승목,김윤성,박세진,손여은,이상원,박정표,박상원,허지원,정기섭,박기선,한갑수,문정대,박상규,손성찬,엄옥란,박재원,양정인,곽진,이상협,권혁성,우수빈,김제형,김수환,문순주,최병윤,김성곤,박시완,최현도,여이레,정소리,윤도영,김진,문지영,허민아,김형명,이원진,정조준,최동구,이형원,김민준,이정우,유상재,양택호,이태일,김미현,임종훈,김탁,이유주,송용환,김가은,조영진,최민철"
56,56,자백,2022-10-26,한국,"범죄,스릴러",윤종석,"김도형,소지섭,김윤진,나나,최광일,박현숙,홍서준,박미현,서영주,황선희,한갑수,김용호,이강진,정청민,박지열,안문주,배재완,조진결,유건우,김관수,안애경,이동규,마정필,원동연,신훈희,김빛나래,백승훈,정윤하,이민식,이승현,김경석,오지영,진범일,김제형,최일순,한동원,유인혜,김시우,선율우,이재경,안세진,홍달표,박시현,문헌주,김흥태"
57,57,언차티드,2022-02-16,미국,"액션,어드벤처",루벤 플레셔,"톰 홀랜드,마크 월버그,안토니오 반데라스,소피아 알리,타티 가브리엘"
58,58,기적,2021-09-15,한국,드라마,이장훈,"박정민,이성민,임윤아,이수경,김강훈,정문성,김동현,이동용,유순웅,김자영,심순영,박인혜,안태린,고현철,유병선,심소영,조연희,정혜경,유승목,박철민,송재룡,오경화,손성찬,김비비,최종윤,오치운,박선아,배기범,천신남,송경화,김준희,이상철,박찬별,이연선,박소을,최규철,김동철,노은하,고창석,허준석"
59,59,리바운드,2023-04-05,한국,드라마,장항준,"안재홍,이신영,정진운,정건주,김민,안지호,이준혁,김회진,김수진,강애심,민무제,최정윤,배성일,강신철,유인혜,송창규,이상원,이태영,백도겸,오현수,서자영,정서인,전영,윤인조,김용현,조준기,양한열,송예슬,김희상,변진수,유순웅,박경관,장준혁,정승원,김정한,이진혁,박시환,이남우,김방선,이형석,이은주,김종은,노경,유인혁,정윤호,한주희,백재민,이순원,성도현,정대경,이준서,김서원,김병준,조윤담,현진호,이진한,안정빈,한대훈,나현우,박건우,장현성,박상면,박재민"
60,60,경관의 피,2022-01-05,한국,"범죄,드라마",이규만,"조진웅,최우식,박희순,권율,박명훈,홍기준,이얼,이현욱,백현진,박정범,원현준,손인용,연제욱,차엽,이도군,윤진영,김그림,임철형,곽민석,남문철,이성우,김준범,김재영,한갑수,이운산,정의욱,박기덕,서영화,박상훈,장서경,이준기,김한나,이동욱,박재철,한창현,허형규,정민성,김태겸,신철용,정종우,천재홍,조정환,백서빈,장래군,이택근,임영우,문정웅,김선웅,진시원,조한결,서호철,박응수,우수빈,강후재,이태구,정수일,정수용,박영빈,김태준,엄지만,이창윤,김주아,이서안,박미애,이민영,김선문,이원희,이다령,이장규,이슬아,임현욱,노성후,박희진,최준혁,변동준,김곤,오진호,김유엽,송여진,이진영,김상욱,장의돈,오규택,장서이,임정옥,한동균,이왕수,최현종,황영수,이한승,정광필,신승빈,진지민,박응수,노은하,정성모"
61,61,극장판 주술회전 0,2022-02-17,일본,애니메이션,박성후,"오가타 메구미,하나자와 카나,코마츠 미카코,우치야마 코우키,세키 토모카즈,나카무라 유이치,사쿠라이 타카히로"
62,62,유령,2023-01-18,한국,액션,이해영,"설경구,이하늬,박소담,박해수,서현우,김동희,김중희,고인범,조하석,서진원,유경훈,박상훈,김명선,한우열,윤정섭,손경표,김영택,김형서,박가영,금새록,공대유,김혜옥,김종수,이솜,이주영"
63,63,엔칸토: 마법의 세계,2021-11-24,미국,애니메이션,"바이론 하워드,자레드 부시,채리스 카스트로 스미스","스테파니 비트리즈,마리아 세실리아 보테로,윌머 발더라마,아다사,다이앤 게레로,마우로 카스틸로,앤지 세페다,제시카 대로우,렌지 펠리즈,캐롤리나 가이탄"
64,64,압꾸정,2022-11-30,한국,"코미디,드라마",임진순,"마동석,도희원,정경호,오나라,최병모,오연서,류승수,임형준,나광훈,길해연,차우진,김찬형,한보름,김서연,남미정,박지훈,장명진,조용근,정지소,진선규,김숙,오희준,이재성,송진희,최형욱"
65,65,연애 빠진 로맨스,2021-11-24,한국,"멜로/로맨스,코미디",정가영,"전종서,손석구,공민정,김슬기,배유람,김재화,임성재,임선우,김영옥,김광규,이학주,백재우,손석구,민성욱,고은민,장서경,김형준,장의수,김미화,어성욱,김지훈,이혜준,황대웅,김봉희,최청자,황복순,박인지,정하진,정준환,채영은,이동현,오은지,노희국,김다영,오상림,박세이,강문봉,남희정,채일,김형남,박종환"
66,66,극장판 포켓몬스터DP: 기라티나와 하늘의 꽃다발 쉐이미,2022-06-01,일본,애니메이션,유야마 쿠니히코,"마츠모토 리카,오오타니 이쿠에,이선호,김영선"
